,State_FIPS_Code,County_FIPS_Code,Population_Size,LBW,Premature,Under_18,Over_40,Late_Care,MVA,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Toxic_Chem,Pap_Smear,Mammogram,Proctoscopy,Pneumo_Vax,Flu_Vac,No_Exercise,Few_Fruit_Veg,High_Blood_Pres,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate
1825,35,61,69417,8.0,12.3,7.7,1.9,33.2,26.0,15.6,10514,1694,1953,4282,4275,8030,81.6,76.5,43.6,64.1,64.1,27.7,79.8,22.3,6.2,14606,7266,1877,30.3,17.3
412,13,57,184211,6.7,10.7,1.7,2.7,5.8,13.9,12.1,18339,3721,3786,10737,9210,676058,89.5,84.0,52.5,-1111.1,-1111.1,19.0,76.6,21.1,6.9,19336,10003,1764,36.4,15.2
221,6,75,739426,7.1,9.9,1.5,5.8,12.3,6.7,11.0,108473,21518,26509,43296,48861,62356,84.5,-1111.1,-1111.1,-1111.1,-1111.1,21.8,69.3,20.8,3.7,102303,103470,14367,243.3,126.4
2754,48,467,52491,7.4,13.2,6.2,1.7,19.0,34.0,20.2,9917,1209,1511,2827,2198,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,26.6,-1111.1,-1111.1,5.7,7796,7403,1159,9.5,21.0
1805,35,23,5139,8.3,11.2,7.6,1.4,37.0,31.6,-1111.1,1020,143,146,317,316,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,25.5,-1111.1,-1111.1,9.6,1491,719,131,0.0,0.0
2765,48,489,20382,6.3,13.6,8.9,1.8,34.1,22.0,5.8,5894,734,430,994,925,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6140,2250,371,24.5,14.7
3100,55,107,15198,5.2,7.4,3.9,1.7,20.9,27.2,14.7,2156,501,418,999,815,2207,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,26.4,-1111.1,-1111.1,16.8,1897,2641,391,72.4,39.5
2654,48,267,4591,7.4,12.9,9.3,1.4,31.3,32.2,-1111.1,890,90,244,253,189,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,965,794,79,43.6,21.8
242,8,1,399426,9.1,12.3,4.4,1.6,21.6,16.9,18.5,52084,11762,7610,26830,30335,1823258,79.8,77.5,29.3,78.2,81.7,25.0,78.1,22.0,6.6,60276,31739,6515,37.8,29.0
2433,47,15,13337,7.8,14.3,3.7,1.2,17.7,36.0,17.7,3019,331,405,854,687,0,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6.2,1820,1736,378,30.0,22.5
2449,47,47,34458,9.5,15.2,5.4,2.0,17.7,28.9,11.4,6836,1040,991,2199,1836,65989,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11.8,3848,2808,751,26.1,8.7
1860,36,69,104461,6.0,9.2,2.2,2.6,12.5,13.0,9.1,8915,2537,2788,5936,6162,11934,83.8,-1111.1,-1111.1,-1111.1,-1111.1,16.9,68.5,21.3,6.2,7904,13805,2354,79.5,48.8
2388,46,59,3307,6.6,9.3,1.4,1.6,21.3,-1111.1,-1111.1,480,64,45,194,110,-2222,81.3,82.1,-1111.1,-1111.1,71.7,34.5,76.8,31.0,8.9,443,740,40,90.7,30.2
2625,48,209,124432,6.3,11.2,4.7,2.2,15.1,24.2,10.5,10738,2668,3316,6617,6709,241532,81.4,-1111.1,-1111.1,-1111.1,-1111.1,19.7,78.8,19.4,7.0,14944,8441,1177,48.2,23.3
2420,46,123,6065,6.1,12.2,5.0,1.6,17.1,29.9,-1111.1,813,115,127,341,213,-2222,80.6,72.4,27.1,62.8,65.7,30.7,79.7,23.4,7.1,1059,1183,104,82.4,49.5
1272,26,87,93361,6.0,10.7,2.3,2.4,11.6,19.9,10.9,9563,3469,1809,5230,5906,190687,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,25.1,77.7,18.3,7.2,9032,8412,1508,22.5,27.8
2606,48,171,23088,5.9,11.4,5.7,2.1,20.9,23.4,17.9,3329,373,781,1308,941,273,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,5.8,2947,4985,317,121.3,30.3
2038,38,101,55767,6.8,11.8,1.7,1.8,7.2,14.1,11.3,4534,1046,886,3085,1892,2898,83.9,79.9,45.6,73.6,73.2,21.6,78.4,22.4,5.6,5151,7370,1074,95.0,66.3
2794,49,39,24044,7.4,11.9,3.9,2.3,21.1,23.3,14.6,2030,576,431,1679,966,-2222,-1111.1,-1111.1,26.8,67.6,62.7,18.7,81.2,22.9,6.1,4685,2441,365,62.4,41.6
688,17,191,16796,7.1,13.3,4.5,1.4,12.4,18.8,13.9,2901,419,297,935,983,0,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.1,1696,3051,376,41.7,17.9
787,19,1,7859,3.5,7.9,2.8,1.4,11.5,26.1,-1111.1,695,191,132,464,278,28744,78.9,-1111.1,-1111.1,-1111.1,-1111.1,25.0,81.6,25.9,6.1,709,1468,94,25.4,25.4
1531,29,101,50784,6.4,10.6,2.7,1.2,10.5,24.8,10.3,4119,1175,952,3288,2930,6916613,82.4,75.7,39.5,65.4,66.3,24.6,82.6,24.8,7.0,6250,4406,823,49.2,29.5
